,ici,,,,,,,
kernel,epsilon-SVR,,,,nu-SVR,,,
,single,,reverse,,single,,reverse,
features,MSR,SCC,MSR,SCC,MSR,SCC,MSR,SCC
FC,0.284211,1.30414e-16,0.28219,0.000537251,0.304679,-4.89716e-16,0.286396,0.000849354
FD,0.230417,0.487604,0.282494,0.000165675,0.244653,0.487594,0.286813,2.93555e-06
FE,0.230417,0.487604,0.282494,0.000165675,0.244653,0.487594,0.286813,2.93555e-06
FF,0.284211,5.21934e-16,0.282279,0.00066047,0.304679,nan,0.286117,0.000937072
FG,0.284211,2.13263e-16,0.282185,0.00053603,0.304679,1.55158e-16,0.286411,0.000825812
FH,0.181913,0.365785,0.282494,0.000165675,0.180953,0.365801,0.286813,2.93555e-06
FI,0.284211,5.21934e-16,0.282488,0.00016573,0.304679,nan,0.286827,2.73619e-06
FJ,0.284085,0.186497,0.28219,0.000537251,0.304493,0.00532489,0.286396,0.000849354
FK,0.284211,3.81414e-16,0.28252,0.000124944,0.304636,0.0318438,0.286872,2.1792e-06
FL,0.229757,0.488147,0.282275,0.000773295,0.244178,0.488175,0.286075,0.00102854
FM,0.229569,0.488555,0.282175,0.000641749,0.243716,0.488572,0.286378,0.000886778
FN,0.22954,0.488321,0.282171,0.000542118,0.244032,0.488343,0.286439,0.000839698
FO,0.284211,5.21934e-16,0.28252,0.000124944,0.304622,0.0667928,0.286872,2.1792e-06
FP,0.229862,0.487965,0.282275,0.000773295,0.24411,0.488209,0.286075,0.00102854
FQ,0.229569,0.488555,0.282175,0.000641749,0.243716,0.488572,0.286378,0.000886778
FR,0.22954,0.488321,0.282171,0.000542118,0.244032,0.488343,0.286439,0.000839698
FS,0.284211,2.2387e-16,0.28219,0.000537251,0.304683,0.00041653,0.286396,0.000849354
FT,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
FU,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
FV,0.284211,5.21934e-16,0.282327,0.000218834,0.304679,nan,0.286319,0.00029881
FW,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
FX,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
FY,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
FZ,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GA,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GB,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GC,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GD,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GE,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GF,11.2039,0.0494116,0.282228,0.000517236,8.14037,0.0420259,0.286637,0.000588662
GG,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GH,0.284211,5.21934e-16,0.282456,0.000189013,0.304679,nan,0.286036,0.000337613
GI,0.284211,5.21934e-16,0.282463,0.000188829,0.304679,nan,0.286021,0.000335466
GJ,0.284211,1.75314e-15,0.28219,0.000537251,0.304679,0,0.286396,0.000849354
GK,0.284211,5.21934e-16,0.282243,0.000554943,0.304679,nan,0.28616,0.00123143
GL,0.284211,5.21934e-16,0.282169,0.000606276,0.304679,nan,0.286421,0.000813665
GM,0.284211,5.21934e-16,0.282359,0.000224482,0.304679,nan,0.286304,0.000303111
GN,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
GO,0.284211,5.21934e-16,0.28216,0.000631482,0.304679,nan,0.286431,0.000846946
GP,0.237262,0.479168,0.282189,0.000541914,0.250381,0.479359,0.286396,0.000854539
GQ,0.263397,0.066871,0.281733,0.00219577,0.267675,0.0676537,0.287539,0.00138376
GR,0.224253,0.210014,0.282926,0.000458821,0.230579,0.202423,0.286689,0.000336835
GS,0.245332,0.137544,0.282221,0.000718864,0.260024,0.136443,0.286145,0.000932241
GT,0.287436,0.000304578,0.282517,0.000240093,0.307018,0.000304026,0.286767,9.18631e-06
GU,0.164068,0.437177,0.282197,0.000501678,0.158432,0.442802,0.28639,0.000849904
GV,0.284211,4.82182e-16,0.28219,0.000537629,0.304679,nan,0.286396,0.000849643
GW,0.284211,3.35422e-16,0.28219,0.000538066,0.304679,-0,0.286396,0.000850326
GX,0.284211,2.46379e-16,0.282182,0.000566807,0.304679,0.000494462,0.286395,0.000889896
GY,0.284211,2.27971e-16,0.28219,0.00053797,0.304681,0.002775,0.286396,0.000850268
GZ,0.284211,2.02205e-16,0.282187,0.000572776,0.304679,0,0.286381,0.000896644
HA,0.284211,4.57679e-16,0.282192,0.000572159,0.304684,0.000304866,0.28637,0.000898589
HB,0.284211,2.72065e-16,0.28219,0.000537938,0.304679,5.44129e-17,0.286396,0.000850213
HC,0.284211,2.17951e-16,0.28219,0.000537568,0.304676,5.77785e-05,0.286396,0.000849746
HD,0.284211,6.3979e-16,0.28219,0.000537268,0.304679,-0,0.286396,0.000849376
HE,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,0,0.286396,0.000849354
HF,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
HG,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
