,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
BW,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BW,92.383,92.383,92.383,92.383,92.383,92.383
BX,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BX,92.383,92.383,92.383,92.383,92.383,92.383
BY,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BY,92.383,92.383,92.383,92.383,92.383,92.383
BZ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BZ,92.383,92.383,92.383,92.383,92.383,92.383
CA,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CA,92.383,92.383,92.383,92.383,92.383,92.383
CB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CB,92.383,92.383,92.383,92.383,92.383,92.383
CC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CC,92.383,92.383,92.383,92.383,92.383,92.383
CD,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CD,92.383,92.383,92.383,92.383,92.383,92.383
CE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CE,92.383,92.383,92.383,92.383,92.383,92.383
CF,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CF,92.383,92.383,92.383,92.383,92.383,92.383
CG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CG,92.383,92.383,92.383,92.383,92.383,92.383
CH,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CH,92.383,92.383,92.383,92.383,92.383,92.383
CI,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,CI,92.383,92.383,92.383,92.383,92.383,92.383
CJ,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,CJ,92.383,92.383,92.383,92.383,92.383,92.383
CK,92.383,92.2742,92.383,91.0773,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CK,92.383,92.383,92.383,92.383,92.383,92.383
CL,92.383,92.2742,92.383,91.0773,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CL,92.383,92.383,92.383,92.383,92.383,92.383
CM,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CM,92.383,92.383,92.383,92.383,92.383,92.383
CN,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CN,92.383,92.383,92.383,92.383,92.383,92.383
CO,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CO,92.383,92.383,92.383,92.383,92.383,92.383
CP,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CP,92.383,92.383,92.383,92.383,92.383,92.383
CQ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,CQ,92.383,92.383,92.383,92.383,92.383,92.383
